name,popularity,albumName,artistNames,spotifyUri
together,51,learn 2 swim,redveil,spotify:track:5Zm07HDqMFdO3Q975odIzb
Sorry You're Sick,52,Watch Your Step,Ted Hawkins,spotify:track:0bQfDEGIkkjrrbGkK4JLmF
Auntie Diaries,70,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:1uY1X8YeBixs1FdQ3fQ7d4
morphine (da ways),48,learn 2 swim,redveil,spotify:track:3IGX2zBWkTGi3EfFMYzJrs
HUMBLE.,83,DAMN.,Kendrick Lamar,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
Savior - Interlude,69,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:5G4uLkFKdEZLcuNyeomQmE
Rich Spirit,81,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:1QPreu0BNOrUfEb8HTd2qG
Crown,70,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:4zMxWSP2qZUy5CBCH5PdzZ
Mirror,72,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:5xoYormSTltk6F9SlQV6mm
We Cry Together,74,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:67XC51nlZncNpHmZ8rOU9a
Mr. Morale,73,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:6CmpZfKUQ2KerzBFZ3QKFr
Wussy Void,31,Weird Sister,Joanna Gruesome,spotify:track:28lfs8yqFqFA8KI2tewGf6
Old Pine,67,Every Kingdom,Ben Howard,spotify:track:3CAX47TnPqTujLIQTw8nwI
Heat Waves,86,Dreamland,Glass Animals,spotify:track:3USxtqRwSYz57Ewm6wWRMp
automatic,45,learn 2 swim,redveil,spotify:track:4OA4cVNBd9dDq4aEHbClng
LOVE. FEAT. ZACARI.,81,DAMN.,Kendrick Lamar,spotify:track:6PGoSes0D9eUDeeAafB2As
LOYALTY. FEAT. RIHANNA.,73,DAMN.,Kendrick Lamar,spotify:track:6SwRhMLwNqEi6alNPVG00n
Back When I Was 4,37,It's the Ones Who've Cracked That the Light Shines Through,Jeffrey Lewis,spotify:track:0S4d4vdLZHId4ct2fgk0JR
Rich - Interlude,70,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:15pyFQHCTVp6T7vaWctSgO
Surfen,46,Lobi Da Basi,Typhoon,spotify:track:2GEKAhY3g7aRlpidLrqe6W
Simulation Swarm,14,Simulation Swarm,Big Thief,spotify:track:0kVBi81VO9ewtpOlSvRLOV
Purple Hearts,75,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:1REVvAphiSTJyKQ1fDpHa4
Mother I Sober (feat. Beth Gibbons of Portishead),68,Mr. Morale & The Big Steppers,Kendrick Lamar,spotify:track:346SJSEbB6pNZMpwovxDiu
LUST.,64,DAMN.,Kendrick Lamar,spotify:track:06FCvd7rrRcF3DdvWH5Isp
Banned in D.C.,52,Bad Brains,Bad Brains,spotify:track:0YnP5BtP6lTwQV8gLOzaov
We Willen Meer Meneer,42,Spijt Is Iets Voor Later,Racoon,spotify:track:3hsJJLDguwDSHAYraufKmf
The Black Crow,39,The Lioness,Songs: Ohia,spotify:track:40r39illR2TnU2qKbxAdpS
